name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude
Digitalents,"A334, Gulistan colony, wah cantt, Gulistan Colony, Wah Cantt, 47040, Pakistan",,,+92 347 7944368,Software Houses,Wah Cantt,1,5,33.7344832,72.6504833
Software Street House,"Railway Station - H I T Link Rd, opposite taxila, Taxila, 47080, Pakistan",,,+92 310 0870788,Software Houses,Wah Cantt,1,5,33.7344832,72.6504833
"Systems Limited, Islamabad","Plot No. 21, 1st Floor, Fazeelat Arcade, G-11 Markaz G 11 Markaz G-11, Islamabad, Pakistan",systemsltd.com,https://www.systemsltd.com,+92 311 9215639,Software Houses,Wah Cantt,144,4.8,33.7426061,72.741377
Mine Cube,"Aslam Market، Al Behbood Plaza, Wah Cantt, Rawalpindi, Punjab 47040, Wah, 47000, Pakistan",,,+92 313 5279931,Software Houses,Wah Cantt,,,33.6687098,72.9266593
Qaim Mehdi Group of Companies,"Hospital, Maqsoodya Masjid Near MetaEnvision Academy Shareef Hospital Main GT, Basti, Shareef, Wah Cantt, 47010, Pakistan",qaimehdi.com,https://www.qaimehdi.com,+92 317 5141479,Software Houses,Wah Cantt,1,5,33.7624232,72.698664
Tunix Technologies,"Golden Square plaza, 2nd floor , office# 15 , New City Phase 2 Wah Cantt, Pakistan",tunixtechnologies.com,https://www.tunixtechnologies.com,+92 51 4592018,Software Houses,Wah Cantt,4,4,33.7868871,72.6475719
Technico softwares,"QQC2+JC3, Sector 20 Wah Cantt, 47000, Pakistan",,,,Software Houses,Wah Cantt,,,33.7868871,72.6475719
Codzy Technologies Inc.,"Milad Circle Wah Cantt, 47040, Pakistan",codzytech.com,https://www.codzytech.com,+92 342 5350448,Software Houses,Wah Cantt,,,33.7868871,72.6475719
Lenticas Private Limited,"PPPC+3X5 Rayan Plaza Near Arcade, New City Phase II Phase 2 New City, Wah, 47000, Pakistan",,,+92 300 6039473,Software Houses,Wah Cantt,9,3.8,33.7868871,72.6475719
SAR ZONE (Best Software House in Islamabad & Automation Center),"SAR ZONE, office number 31, executive business center، 2 Markaz, 48000, Pakistan",sarzone.com,https://www.sarzone.com,,Software Houses,Wah Cantt,10,5,33.7351354,72.6503917
Buraq Soft,"Flat No, Street No 21, 1 Office Street No 1, Phase-II Wah Model Town, Wah Cantt, 47040, Pakistan",,,+92 300 1831983,Software Houses,Wah Cantt,,,33.7405152,72.7233672
Zence Solutions,"Zaitoon palaza, New City Phase II Phase 2 New City, Wah Cantt, 47000, Pakistan",,,+92 316 5485559,Software Houses,Wah Cantt,,,33.7672481,72.6585648
Web Cafe,"First floor, F-12, New City Phase II Wah, 47040, Pakistan",webcafe.pk,https://www.webcafe.pk,+92 310 5225902,Software Houses,Wah Cantt,6,5,33.7672481,72.6585648
Web Cafe,"First floor, F-12, New City Phase II Wah, 47040, Pakistan",webcafe.pk,https://www.centigmasoft.com,+92 333 5067072,Software Houses,Wah Cantt,29,5,33.6730274,73.0343038
"All Tech 360 (Web Development Company, Web Development Islamabad , Software House In Rawalpindi)","Office f25, 2nd floor, Chandni Chow, Mid City Shopping Mall, B-Block Block B Satellite Town, Rawalpindi, 44000, Pakistan",alltech360.com,https://www.alltech360.com,+92 312 5676066,Software Houses,Wah Cantt,29,5,33.6730274,73.0343038
Software Company,,sourceexp.com,https://www.sourceexp.com,+92 311 5363033,Software Houses,Wah Cantt,,,33.6350579,73.0015694
Leading Edge Business solutions,"Wah Cantt, Pakistan",,,+92 326 5084294,Software Houses,Wah Cantt,1,5,33.7699021,72.686287
Dynamic Solutions Pakistan,"PQRX+39G, Bani Mohalla, Taxila, Pakistan",,,+92 314 9555958,Software Houses,Wah Cantt,27,3.7,33.7462826,72.7676339
QA_Gripper,,,,+92 307 9122307,Software Houses,Wah Cantt,1,5,42.2751,34.0386646
ZS Ventures,"Office # 4, Bao G Tower, Wah Cantt, 47040, Pakistan",znsventures.com,https://www.znsventures.com,,Software Houses,Wah Cantt,1,5,33.7339822,72.6506652
The Art Games,"PPMF+38R, Phase 2 New City, Wah, Pakistan",,,+92 308 6977394,Software Houses,Wah Cantt,16,4.7,33.7339822,72.6506652
KMS ENTERPRISES,"Ac Wah, Askari cement, Wah, Pakistan",,,,Software Houses,Wah Cantt,4,4,33.7339822,72.6506652
Markhor softs,"C-459, 2 Lala Rukh St, Wah Cantt, 47000, Pakistan",,,+92 300 0590753,Software Houses,Wah Cantt,,,33.7396002,72.6545597
Virtual world solutions software house,"PRR2+2QQ, Taxila, Pakistan",,,,Software Houses,Wah Cantt,,,33.7401528,72.7298967
Dev Valley Software House & Incubation Center Taxila,,l.facebook.com,https://www.l.facebook.com,+92 303 4889663,Software Houses,Wah Cantt,,,30.3629572,68.9246006
CognitoJS,"C, 177 Qabristan Rd, Wah, Pakistan",cognitojs.com,https://www.cognitojs.com,+86 186 2180 5652,Software Houses,Wah Cantt,6,5,33.782261,72.6508303
CognitoJS,"C, 177 Qabristan Rd, Wah, Pakistan",cognitojs.com,https://www.cognitojs.com,+92 334 6107765,Software Houses,Wah Cantt,7,3.9,33.6187063,73.0690989
Iqab,"Al-Saudia Plaza, near 26 Area, Sector 20 Wah Cantt, Pakistan",iqabidigitalsolution.com,https://www.iqabidigitalsolution.com,,Software Houses,Wah Cantt,,,33.6187063,73.0690989
