name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude
Softeezy Software House,"QP6P+2RH, Phase-I Extension Wah Model Town, Wah, Pakistan",,,,Software Houses,Pakistan,10,4.4,33.6681937,70.7511632
IKONIC DEV PVT LTD,"Ikonic, Plot # 176, Korang Road, near Rahat Bakers, I-10/3 I 10/3 I-10, Islamabad, 44000, Pakistan",ikonicsolution.com,https://www.ikonicsolution.com,+92 51 4800841,Software Houses,Pakistan,96,4.7,33.6681937,70.7511632
Devsinc (Islamabad),"102 Chinar Rd, I-10/3 I 10/3 I-10, Islamabad, Pakistan",devsinc.com,https://www.devsinc.com,+92 306 0074645,Software Houses,Pakistan,57,4.7,33.6681937,70.7511632
Tesseract Technologies,"Wah Model town Phase 1 Rd, opposite Savour Foods, Phase-I Extension Wah Model Town, Wah Cantt, 47000, Pakistan",business.google.com,https://www.business.google.com,+92 330 6244441,Software Houses,Pakistan,54,5.0,33.6681937,70.7511632
Growstep Technologies - Best Software Company In Rawalpindi Pakistan,"Plot 59G Street 7, I-10/3 I 10/3 I-10, Islamabad, 44000, Pakistan",growstepai.com,https://www.growstepai.com,+92 333 5145322,Software Houses,Pakistan,36,4.8,33.6681937,70.7511632
DatumSquare IT Services Pvt. Ltd.,"STP -3, Block A, Ground Floor # Plot # 155، 3 Service Rd N, I 9/3 I-9, Islamabad, 44000, Pakistan",datumsquare.com,https://www.datumsquare.com,+92 51 8319127,Software Houses,Pakistan,128,4.6,33.6681937,70.7511632
"Systems Limited, Islamabad","Plot No. 21, 1st Floor, Fazeelat Arcade, G-11 Markaz G 11 Markaz G-11, Islamabad, Pakistan",systemsltd.com,https://www.systemsltd.com,+92 311 9215639,Software Houses,Pakistan,144,4.8,33.6681937,70.7511632
Pixel Sama | Software House in Islamabad | Software Companies in Pakistan,"Office no 1, Umer Heights, street no 1 Khayam Town Rd, H-13, Islamabad, 44000, Pakistan",,,+92 344 5786762,Software Houses,Pakistan,7,5.0,33.6681937,70.7511632
NUEXUS IT COMPANY ISLAMABAD,"Office 3B 1st Floor, Javed Arcade, G-12, Islamabad, 46000, Pakistan",nuexus.com,https://www.nuexus.com,+92 300 5874020,Software Houses,Pakistan,34,5.0,33.6681937,70.7511632
Dynamic Solutions Pakistan,"QQ34+XW7, Street 1, New City Wah Cantt, Wah, Pakistan",,,+92 302 5555496,Software Houses,Pakistan,2,5.0,33.6681937,70.7511632
CentigmaSoft | Software Company | Website Development Company in Islamabad | Mobile App | Software Outsourcing | Consultant,"Street 18, Nisar Market Margalla Town Phase 1 Islamabad, 44000, Pakistan",centigmasoft.com,https://www.centigmasoft.com,+92 333 5067072,Software Houses,Pakistan,29,5.0,33.6681937,70.7511632
Zones IT Solutions (ZITS),"J2XQ+554, 3, I-10/3 I 10/3 I-10, Islamabad, Pakistan",zones.com,https://www.zones.com,+92 51 4100423,Software Houses,Pakistan,285,4.6,33.6681937,70.7511632
Bitsol Technologies,"Software Technology Park, 156 Service Rd N, I-9/3 I 9/3 I-9, Islamabad, Pakistan",bitsol.tech,https://www.bitsol.tech,+92 51 8739512,Software Houses,Pakistan,48,4.7,33.6681937,70.7511632
Software house,"QP2M+PJF, Wah, 47040, Pakistan",,,,Software Houses,Pakistan,2,3.0,33.6681937,70.7511632
UnitedSol,"349 Street 1, I-9/3 I 9/3 I-9, Islamabad, 44000, Pakistan",unitedsol.net,https://www.unitedsol.net,+92 51 8442246,Software Houses,Pakistan,72,4.6,33.6681937,70.7511632
